parameter,row_index,row_shape,non_zero_indices,w1,w2,w3,w4,w5,w6,bias
model.0.gatebank.w,0,"(6,)","6,8,4,5,3,2",0.8552571535110474,0.601244330406189,0.29664430022239685,0.31100526452064514,0.10009992867708206,0.5682166814804077,0.085697725
model.0.gatebank.w,1,"(6,)","8,0,6,5,1,2",0.41797786951065063,0.17790789902210236,1.1500210762023926,0.3437705338001251,0.5434780716896057,0.7489265203475952,-0.197672
model.0.gatebank.w,2,"(6,)","6,1,3,2,7,5",0.5916925072669983,0.26160410046577454,0.22072194516658783,0.9129969477653503,0.6578851938247681,0.9506208896636963,-0.06971965
model.0.gatebank.w,3,"(6,)","1,8,3,7,2,0",0.4256737530231476,0.6688808798789978,0.4910951554775238,0.48909735679626465,0.3015279471874237,0.5804218053817749,-0.27151802
model.0.gatebank.w,4,"(6,)","1,6,7,4,0,8",0.5687975883483887,0.4468795359134674,0.34443265199661255,0.18474921584129333,0.7243595719337463,0.11090237647294998,0.023646614
model.0.gatebank.w,5,"(6,)","5,2,0,1,7,4",0.7875959277153015,0.4266687333583832,0.3917228579521179,0.6649582982063293,0.3723563551902771,0.7203311324119568,-0.44659913
model.0.gatebank.w,6,"(6,)","4,7,8,3,0,5",0.6130430698394775,0.33636754751205444,0.67363041639328,0.7118077278137207,0.6522262692451477,0.517267644405365,-0.35560963
model.0.gatebank.w,7,"(6,)","8,5,2,0,4,1",0.26684683561325073,0.43140551447868347,0.6118888854980469,0.38960716128349304,0.6648887395858765,0.7510343790054321,-0.13218743
model.0.gatebank.w,8,"(6,)","3,5,7,1,6,8",0.3473285734653473,0.5343597531318665,0.6865529417991638,0.5013990998268127,0.6178402304649353,0.6146073937416077,-0.55013585
model.0.gatebank.w,9,"(6,)","3,8,0,4,1,7",-0.009424853138625622,0.4088594317436218,0.6763400435447693,0.7482621073722839,0.6022282242774963,0.4106239080429077,0.15381587
