parameter,row_index,row_shape,non_zero_indices,w1,w2,w3,w4,w5,w6,bias,negative index
model.0.gatebank.w,0,"(6,)","6, 8, 2, 5, 4, 3",0.8552571535110474,0.601244330406189,0.5682166814804077,0.3110052645206451,0.2966443002223968,0.100099928677082,0.085697725,
model.0.gatebank.w,1,"(6,)","6, 2, 1, 8, 5, 0",1.1500210762023926,0.7489265203475952,0.5434780716896057,0.4179778695106506,0.3437705338001251,0.1779078990221023,-0.197672,
model.0.gatebank.w,2,"(6,)","5, 2, 7, 6, 1, 3",0.9506208896636964,0.9129969477653505,0.6578851938247681,0.5916925072669983,0.2616041004657745,0.2207219451665878,-0.06971965,
model.0.gatebank.w,3,"(6,)","8, 0, 3, 7, 1, 2",0.6688808798789978,0.5804218053817749,0.4910951554775238,0.4890973567962646,0.4256737530231476,0.3015279471874237,-0.27151802,
model.0.gatebank.w,4,"(6,)","0, 1, 6, 7, 4, 8",0.7243595719337463,0.5687975883483887,0.4468795359134674,0.3444326519966125,0.1847492158412933,0.1109023764729499,0.023646614,
model.0.gatebank.w,5,"(6,)","5, 4, 1, 2, 0, 7",0.7875959277153015,0.7203311324119568,0.6649582982063293,0.4266687333583832,0.3917228579521179,0.3723563551902771,-0.44659913,
model.0.gatebank.w,6,"(6,)","3, 8, 0, 4, 5, 7",0.7118077278137207,0.67363041639328,0.6522262692451477,0.6130430698394775,0.517267644405365,0.3363675475120544,-0.35560963,
model.0.gatebank.w,7,"(6,)","1, 4, 2, 5, 0, 8",0.7510343790054321,0.6648887395858765,0.6118888854980469,0.4314055144786834,0.389607161283493,0.2668468356132507,-0.13218743,
model.0.gatebank.w,8,"(6,)","7, 6, 8, 5, 1, 3",0.6865529417991638,0.6178402304649353,0.6146073937416077,0.5343597531318665,0.5013990998268127,0.3473285734653473,-0.55013585,
model.0.gatebank.w,9,"(6,)","4, 0, 1, 7, 8, 3",0.7482621073722839,0.6763400435447693,0.6022282242774963,0.4106239080429077,0.4088594317436218,0.0094248531386256,0.1632407231386256,3
model.0.gatebank.w,10,"(6,)","0, 8, 1, 7, 3, 5",0.8868650794029236,0.8591188192367554,0.6589171290397644,0.396109402179718,0.3742983341217041,0.2257867157459259,0.24278025,
model.0.gatebank.w,11,"(6,)","6, 8, 2, 7, 3, 5",0.8949448466300964,0.8556602597236633,0.8187119364738464,0.7585111260414124,0.6234174966812134,0.2590281963348388,0.031562705,
model.0.gatebank.w,12,"(6,)","1, 6, 7, 8, 5, 0",0.7985531687736511,0.7909567952156067,0.6380907297134399,0.3354227542877197,0.2784174382686615,0.1922331899404525,0.11080092,
model.0.gatebank.w,13,"(6,)","8, 5, 7, 3, 2, 4",0.7596186995506287,0.652117133140564,0.6210538744926453,0.5589077472686768,0.253782719373703,0.1742389351129531,0.059603527,
model.0.gatebank.w,14,"(6,)","8, 0, 1, 3, 4, 7",0.6526866555213928,0.6254972815513611,0.6016117334365845,0.5131090879440308,0.3695263862609863,0.321720540523529,-0.27331915,
model.0.gatebank.w,15,"(6,)","5, 0, 7, 2, 3, 4",0.9048014283180236,0.5930260419845581,0.31871098279953,0.2298304587602615,0.1730134487152099,0.1679441630840301,0.28988674,
model.0.gatebank.w,16,"(6,)","4, 7, 6, 1, 5, 3",0.9718118906021118,0.9159737229347228,0.820770263671875,0.5166131258010864,0.3450062870979309,0.2280656546354293,-0.045741953,
